ruc;razón_social;estado;condicion;latitud;longitud;tipo_empresa;locales;oportunidad;estado;oportunidad;
20417528076;EMPRESA DE TRANSPORTES KYPE S.A.C.;SUSPENSION TEMPORAL;HABIDO;-12.0264;-76.9214;;10; ; ;Decil 2;72
20159611711;CABLE ZOFRI S.R.LTDA;SUSPENSION TEMPORAL;HABIDO;-12.1072;-76.9989;;10; ; ;Decil 2;73
20504404511;TURISMO RODRIGUEZ SOCIEDAD ANONIMA CERRADA - TURODSAC;ACTIVO;NO HABIDO;-12.0453;-77.0308;;10; ; ;Decil 2;74
20110580861;CARE PERU;SUSPENSION TEMPORAL;HABIDO;-12.0756;-77.0433;;10; ; ;Decil 2;75
20513081589;CARGO EXPRESS SANCHEZ SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA;ACTIVO;HABIDO;-12.1636;-76.9636;;10; ; ;Decil 2;76
20210133748;GAS SUPERIOR SAC;SUSPENSION TEMPORAL;HABIDO;-12.0264;-76.9214;;10; ; ;Decil 2;77
20507478591;DISTRIBUIDORA JOHN CARDI SRL;ACTIVO;HABIDO;-11.8903;-77.0269;;10; ; ;Decil 2;78
20100539439;EMP.EXPLOTADORA DE VINCHOS LTDA S.A.C.;ACTIVO;HABIDO;-12.145;-77.005;PEQUEÑA EMPRESA;10; ; ;Decil 2;79
20502727886;INMOBILIARIA EL BUEN VIVIR S.A.C.;ACTIVO;HABIDO;-12.145;-77.005;PEQUEÑA EMPRESA;10; ; ;Decil 2;80
20600800991;DISTRIBUIDORA DE ENERGIA KATTNICO SAC;ACTIVO;HABIDO;-12.1217;-77.0292;;10; ; ;Decil 2;81
20513050781;TAPYTEL OUTLET S.A.C.;ACTIVO;HABIDO;-12.065;-77.0308;;10; ; ;Decil 2;82
20469488404;EMPRESA DE TRANSPORTES TURISMO EXPRESS EL COMITE 2 S.A.C.;ACTIVO;HABIDO;-12.065;-77.0308;PEQUEÑA EMPRESA;10;Validado;Vigente;Decil 2;83
